"PROVINC","CA","ALIMENT","VESTIDO","VIVIENDA","SALUD","TRANSP","CULTURA"
"ALAVA","País Vasco",2275,929,7781,638,1408,3524
"ALBACETE","Castilla - La Mancha",1253,449,2245,266,800,1182
"ALICANTE","Comunidad Valenciana",1512,598,3104,527,1401,2785
"ALMERIA","Andalucía",1338,423,2218,287,818,1378
"AVILA","Castilla y León",1706,500,2180,256,883,1445
"BADAJOZ","Extremadura",1098,366,1896,176,757,868
"BALEARES","Baleares",1777,629,6211,438,2079,2802
"BARCELONA","Cataluña",1977,649,4777,724,1909,3778
"BURGOS","Castilla y León",1878,498,5132,266,1225,2499
"CACERES","Extremadura",1246,399,2157,240,1075,1104
"CADIZ","Andalucía",1325,429,2191,309,836,1278
"CASTELLON","Comunidad Valenciana",1676,620,3974,592,1412,2310
"C.REAL","Castilla - La Mancha",1301,388,2663,241,582,967
"CORDOBA","Andalucía",1370,518,2262,292,897,1469
"CORUÑA","Galicia",1971,620,3696,278,1169,1581
"CUENCA","Castilla - La Mancha",1341,433,2633,221,816,1612
"GERONA","Cataluña",1986,715,4491,917,2217,3090
"GRANADA","Andalucía",1215,499,2136,203,897,1328
"GUADALAJARA","Castilla - La Mancha",1414,400,2451,256,835,1603
"GUIPUZCUA","País Vasco",2018,779,6777,676,1570,4281
"HUELVA","Andalucía",1389,393,2617,287,848,1228
"HUESCA","Aragón",1925,608,5078,507,1725,2752
"JAEN","Andalucía",1273,423,3016,203,707,1253
"LEON","Castilla y León",1708,509,3543,296,1484,1761
"LERIDA","Cataluña",2040,683,3284,699,1506,3241
"RIOJA","La Rioja",1787,641,3669,339,1273,2099
"LUGO","Galicia",2199,684,3474,417,1450,1249
"MADRID","Madrid",1718,664,6449,575,2238,4275
"MALAGA","Andalucía",1363,535,2295,245,1046,1776
"MURCIA","Murcia",1650,493,2962,350,1002,1683
"NAVARRA","Navarra",2091,890,4503,666,2297,3848
"ORENSE","Galicia",2122,806,2975,334,1047,1144
"OVIEDO","Asturias",1751,769,4129,374,1318,2446
"PALENCIA","Castilla y León",1991,689,2926,383,1579,2890
"LAS PALMAS","Canarias",1337,293,2047,309,1089,1879
"PONTEVEDRA","Galicia",1934,594,3450,334,1280,1276
"SALAMANCA","Castilla y León",1865,548,2803,327,868,1793
"S.C.DE TENER","Canarias",1286,355,2658,460,1344,1783
"SANTANDER","Cantabria",1910,882,5079,414,1880,2350
"SEGOVIA","Castilla y León",2007,672,3004,327,1142,2299
"SEVILLA","Andalucía",1283,427,2693,262,1118,1644
"SORIA","Castilla y León",2005,568,3316,286,981,1687
"TARRAGONA","Cataluña",1800,509,3292,518,1499,2658
"TERUEL","Aragón",1675,394,1838,250,769,1680
"TOLEDO","Castilla - La Mancha",1261,372,2134,266,857,1352
"VALENCIA","Comunidad Valenciana",1472,456,3152,396,1435,2397
"VALLADOLID","Castilla y León",1817,607,3381,394,1594,2626
"VIZCAYA","País Vasco",2030,943,6406,632,2108,4130
"ZAMORA","Castilla y León",1821,467,2628,189,833,1360
"ZARAGOZA","Aragón",1879,545,4477,865,1410,3382
"CEUTA","Ceuta",1332,498,2018,275,657,1554
"MELILLA","Melilla",1899,563,1857,515,569,1560
